"","apply(Filter_perClass, 1, mean)"
"V398",0.586226851851852
"V399",0.607638888888889
"V400",0.612847222222222
"V401",0.585069444444444
"V402",0.594907407407407
"V403",0.594039351851852
"V404",0.594328703703704
"V405",0.571903935185185
"V406",0.59056712962963
"V407",0.594907407407407
"V408",0.607638888888889
"V409",0.603587962962963
"V410",0.577980324074074
"V411",0.590277777777778
"V412",0.594618055555556
"V413",0.607638888888889
"V414",0.572916666666667
"V415",0.626736111111111
"V416",0.637297453703704
"V417",0.632523148148148
"V418",0.594907407407407
"V419",0.616753472222222
"V420",0.616608796296296
"V421",0.608796296296296
"V422",0.594762731481482
"V423",0.591145833333333
"V424",0.582320601851852
"V425",0.603587962962963
"V426",0.609194155092593
"V427",0.617657696759259
"V428",0.627821180555556
"V429",0.636610243055556
"V430",0.636610243055556
"V431",0.626338252314815
"V432",0.603117766203704
"V433",0.620334201388889
"V434",0.586371527777778
"V435",0.564127604166667
"V436",0.558521412037037
"V437",0.558937355324074
"V438",0.605577256944444
"V439",0.585394965277778
"V440",0.612847222222222
"V441",0.584563078703704
"V442",0.586082175925926
